Denominazione,Indirizzo,CAP,Comune,Provincia,Regione,Codice_univoco,Partita_IVA
NANNI SNC DI GUIDO E FRANCESCO NANNI,"Via Crescenzio, 59",00193,Roma,Roma (RM),Lazio,F/9667,12723771007
PARIOLI DEL DR. RECCHI FRANCESCHINI RINALDO SAS,"Piazza Santiago del Cile, 23",00197,Roma,Roma (RM),Lazio,F/9096,12726921005
COMUNALE SANTA CHELIDONIA SRL,"Contrada Misola, 6",00028,Subiaco,Roma (RM),Lazio,F/18924,12761921001
SILVESTRO II SNC,"Via Circonvallazione Cornelia, 289",00167,Roma,Roma (RM),Lazio,F/9707,12574551003
GRAZIANI FRANCA,"Via Amerigo Chialastri, 1",00033,Cave,Roma (RM),Lazio,F/18945,12776361003
"SANTA BARBARA SNC DI ALESSANDRA ROSSI, FRANCESCA E STEFANIA BROCCHIERI","Corso Garibaldi, 15",00034,Colleferro,Roma (RM),Lazio,F/9844,13204931003
GREGORIO XI DOTT. GAETANO CORDIO,"Via Gregorio XI, 134",00166,Roma,Roma (RM),Lazio,F/9762,13209521007
FARMACIA CASSIA GSM S.N.C.,"Via Cassia, 1661/1663",00123,Roma,Roma (RM),Lazio,F/19413,14059021007
"FARMACIA VITINIA SNC DEI DR.RI VINCENZO FABIANI, MAURO RIETTI E ELISABETTA TOCCA","Via Sarsina, 57",00127,Roma,Roma (RM),Lazio,F/19416,14071081005
FARMACIA CORTINA D'AMPEZZO SAS,"Via dell'Acqua Traversa, 249",00135,Roma,Roma (RM),Lazio,F/19422,14201811008
BRIZZI DANIELE,"Via Mazzini, 82",00030,Montelanico,Roma (RM),Lazio,F/9871,00054761002
PACCHIAROTTI GIUSEPPE,"Via F. Delpino, 70",00171,Roma,Roma (RM),Lazio,F/9301,01254840588
MARZOLI SAS DI FRANCESCA MARZOLI & C.,"Via Franco Sacchetti, 93",00137,Roma,Roma (RM),Lazio,F/9243,12939581000
TACCONI MAURO,"Via Prataporci, 4",00132,Roma,Roma (RM),Lazio,F/9332,00782421002
ZANDONADI PIETRINO,"Via della Vittoria, 8",00030,Gavignano,Roma (RM),Lazio,F/9869,00850391004
LUCCIARINI SERGIO,"Via Angelo Viscogliosi, 42",00155,Roma,Roma (RM),Lazio,F/9305,01382090585
ERCOLANI CRISTINA,"Piazzale Clodio, 54",00195,Roma,Roma (RM),Lazio,F/9683,09158331000
ANIENE SAS DI PAOLO FABRIZI & C.,"Via Cimone, 119/a",00141,Roma,Roma (RM),Lazio,F/9123,13089911005
DOMINICI RENATO,"Via G. Chiovenda, 88",00173,Roma,Roma (RM),Lazio,F/9311,03067520589
VALLATI AUGUSTO E ALESSANDRO SNC,"Via Dino Penazzato, 83/E 83/F",00177,Roma,Roma (RM),Lazio,F/9516,04937731000
PERETTI E SANTORI SNC,"Viale del Lavoro, 1",00043,Ciampino,Roma (RM),Lazio,F/10033,05126081008
RAMUNDO MONTARSOLO RAFFAELLA,"Via Torpignattara, 47",00177,Roma,Roma (RM),Lazio,F/9443,09716710588
RICCARDI ENZO LUIGI,"Via Aldo Moro, 21",00019,Tivoli,Roma (RM),Lazio,F/9648,10101381001
BOLLE LUCIANA,"Via Nomentana, 501",00013,Mentana,Roma (RM),Lazio,F/9932,10219490587
PAOLA TERESA RICCARDI snc,"Via Clemente X, 47",00167,Roma,Roma (RM),Lazio,F/9728,10221921009
ANGELETTI RUGGERO,"Via della Stazione di Ottavia, 96",00135,Roma,Roma (RM),Lazio,F/9766,10223740589
CLEMENTE XI SAS DELLA DR.SSA VALERIA BUI & C.,"Via Monti di Primavalle, 187",00167,Roma,Roma (RM),Lazio,F/9781,10448121003
GUARINO F. & C. SNC,"Via dell'Imbrecciato, 124",00149,Roma,Roma (RM),Lazio,F/9633,04817521000
Burchieri Dr: Roberta,"Piazza Corte, 6",00072,Ariccia,Roma (RM),Lazio,F/10043,01789850854
LENTINI DI P. E M. LENTINI SNC,"Via del Forte Braschi, 20",00167,Roma,Roma (RM),Lazio,F/9749,04567221009
POLVERINI GIULIANA & A.PAOLA SNC,"Via Federico Torre, 27/31",00152,Roma,Roma (RM),Lazio,F/9626,04571751009
Fogliani Dei Dr.i Giancarlo E Ambrogio Fogliani Snc,"Via Veturia, 57",00181,Roma,Roma (RM),Lazio,F/9502,04571771007
Santa Eurosia Snc Di Montecuollo Raffaele,"Via Napoli, 50",00076,Lariano,Roma (RM),Lazio,F/9977,10747031002
SCARFO' SAS DEL DR. SCARFO' GIOVANNI,"Via Silvio Spaventa, 10",00040,Rocca di papa,Roma (RM),Lazio,F/9968,10750871005
BUCCELLA DR. FILIPPO & C. SAS,Via Aurelia Km. 1297/1299,00166,Roma,Roma (RM),Lazio,F/9644,05102341004
FIUME BIANCO SNC,"Via Fiume Bianco, 46",00144,Roma,Roma (RM),Lazio,F/9530,05445961005
CONTI DI VALENTINI LORENZO E GIUSEPPE SNC,"VIA C. BATTISTI, 88",00019,Tivoli,Roma (RM),Lazio,F/9930,05096221006
PELLEGRINI CLAUDIO,Centro Forum Stazione Termini,00185,Roma,Roma (RM),Lazio,F/9174,06820270582
ABBATE SNC,"Via G. Cardano, 58",00146,Roma,Roma (RM),Lazio,F/9654,05999741001
ORLANDI GIOVANNA,"Piazza Capranica, 96",00186,Roma,Roma (RM),Lazio,F/9158,06002900584
KUTSCHERA FABRIZIO,"Via dello Stadio, 93",00060,Sacrofano,Roma (RM),Lazio,F/9834,06300081004
PELLEGRINO SALVATORE,"Via della Croce, 13",00036,Palestrina,Roma (RM),Lazio,F/9943,06366991005
PARCO LEONARDO PHARMAMEF SRL,"Via Bramante, 49",00054,Fiumicino,Roma (RM),Lazio,F/18433,02175570684
DELLE FRATTE ANDREA,"Viale di Valle Aurelia, 73 A/B",00167,Roma,Roma (RM),Lazio,F/9688,07496451001
GERARDINI RENATA,"Via R. R. Pereira, 217/a",00136,Roma,Roma (RM),Lazio,F/9716,07642400589
SAN BARTOLOMEO DEI DR.I A. & G. TASSONE SNC,"Piazza Amico D'Arsoli, 2/A",00023,Arsoli,Roma (RM),Lazio,F/9936,07700511004
ORMEA DEI DR.I MARIELLA E GIAN BATTISTA ORMEA SNC,"Via Salaria, 84/86/88",00198,Roma,Roma (RM),Lazio,F/9239,07754091002
PIAZZA LECCE SNC DEL DR. ERNESTO ROSSI,"Piazza Lecce, 13/14",00161,Roma,Roma (RM),Lazio,F/9093,07815840637
INFANTINO SALVATORE,"Piazza della Vittoria, 4",00025,Gerano,Roma (RM),Lazio,F/9862,07852201008
ABUDI LINDA,"Via Collatina, 112",00177,Roma,Roma (RM),Lazio,F/9489,08670340580
UMBRA SNC DI GIANFRANCO CIDONIO E CRISTINA CIDONIO,"Via Tuscolana, 285",00181,Roma,Roma (RM),Lazio,F/9418,08746591000
Grilli Angela,"Via Flaminia, 115/117",00196,Roma,Roma (RM),Lazio,F/9201,08814600584
EREDI SIMEONI LUIGI,"Via Rapagnano, 2",00138,Roma,Roma (RM),Lazio,F/9098,08932711008
REPUBBLICA DI CRISTINA ED ILEANA BARLETTA SNC,"Piazza della Repubblica, 67",00185,Roma,Roma (RM),Lazio,F/9274,09028921006
SALSANO DI BASSO G. E M.R. SNC,"Via della Farnesina, 145/147",00194,Roma,Roma (RM),Lazio,F/9741,04364861007
FOCACCIA SILVANO & C. SNC,"Via G. De Calvi, 12",00151,Roma,Roma (RM),Lazio,F/9623,04365431008
RAPISARDA RIZZO OLIMPIA & C. SNC,"Via Aurelia, 670/D",00165,Roma,Roma (RM),Lazio,F/9686,09182641002
DE ANGELIS AMALIA,"Via Gramsci, 1",00197,Roma,Roma (RM),Lazio,F/9219,09497560582
LOLLI LUCA,"Via Della Massimilla, 174/176",00166,Roma,Roma (RM),Lazio,F/18650,09509841004
SANTONI SAS DEL DR. FRANCO SANTONI & C.,"Via Olanda, 2",00040,Pomezia,Roma (RM),Lazio,F/10029,11106261008
MARTINO SNC,"Via G.A. Sartorio, 34(Ang.P.za Lante 32)",00147,Roma,Roma (RM),Lazio,F/9490,11221571000
"ALTOBELLI SAS DEI DR. D. ALTOBELLI, A. FIRRIOLO & C","Corso Italia, 92",00011,Guidonia montecelio,Roma (RM),Lazio,F/9951,11498151007
SAMPERI LAURA,"Largo Gaetano La Loggia, 35",00149,Roma,Roma (RM),Lazio,F/9637,10118730588
BARDUCCI STEFANIA,"Via Nettunense Vecchia, 82",00040,Marino,Roma (RM),Lazio,F/9979,10667251002
MAGNANIMI SNC,"Via M. Dionigi, 31",00193,Roma,Roma (RM),Lazio,F/9773,05496971002
SULSENTI ADRIANA,"Via Tiburtina Valeria, 78",00019,Tivoli,Roma (RM),Lazio,F/9925,04801891005
AMIRKHANIAN MARIO,"Via IV Novembre, 34",00069,Trevignano romano,Roma (RM),Lazio,F/9803,12026081005
SETTE CHIESE DA PARTE DEGLI EREDI DEL DOTTO FABI0 FABI,"Via L. Fincati, 17",00154,Roma,Roma (RM),Lazio,F/9407,12081291002
MONETA CAGLIO DA RE' MARIA ISABELLA,"Piazza Geremia Bonomelli, 5",00154,Roma,Roma (RM),Lazio,F/9432,12381041008
PELLEGRINI EREDI DR. CARLO PELLEGRINI DI A. E G. PELLEGRINI & C. SNC,"Piazza San Cosimato, 34-35 (Mercato)",00153,Roma,Roma (RM),Lazio,F/9086,12579131009
Urbani Massimo,"Via Roma, 208",00076,Lariano,Roma (RM),Lazio,F/10009,04928261009
CARNEVALI ANDREA,"Piazza Vittime del Fascismo, 15",00046,Grottaferrata,Roma (RM),Lazio,F/10020,04519661005
BARTOLESCHI MARIA,"Via dei Serpenti, 125",00184,Roma,Roma (RM),Lazio,F/9256,10648650587
PIAZZA QUADRATA DEI DR.I MONGARDINI ROBERTO E SULIS MARILENA SNC,"Viale Regina Margherita, 61/63",00198,Roma,Roma (RM),Lazio,F/9161,10656341004
CONTARINA GIOVANNI LUCA,"Via di Torrevecchia, 308",00168,Roma,Roma (RM),Lazio,F/9779,10738780583
DEGLI SPEZIALI SAS,"Via Filippi, 11",00146,Roma,Roma (RM),Lazio,F/9419,10961541009
MERCURI DR.SSA ANGELA,"Via S. Nicola da Tolentino, 10/12",00187,Roma,Roma (RM),Lazio,F/9181,10965001000
S.CLETO DR PULCHINOTTA PALMIERI,"Via Montecassiano, 163",00156,Roma,Roma (RM),Lazio,F/9353,11088101008
PORRECA MARCO GIULIANO,"Piazza Epiro, 7",00183,Roma,Roma (RM),Lazio,F/9554,06480661005
MANCINI GIULIANO,"Via Tiburtina, 542",00159,Roma,Roma (RM),Lazio,F/9314,00584860589
CAPRINO SNC,"Viale Somalia, 84 (Ang. Via Villa Chigi)",00199,Roma,Roma (RM),Lazio,F/9112,11822231004
S. GORDIANO SNC AMALFITANO ANTONIO,"Largo Giovanni XIII, 5",00053,Civitavecchia,Roma (RM),Lazio,F/9827,12169581001
Ferretti Sas Del Dott. Andrea Ferretti,"Via Fontana Di Papa, 5 - 5a - 5b",00072,Ariccia,Roma (RM),Lazio,F/9989,12385281006
BRIZZI PAOLO DI ELISA BRIZZI SAS,"Via Casilina, 130",00038,Valmontone,Roma (RM),Lazio,F/9848,12433581001
FARMACIA BRAVETTA SAS,"Via Bravetta, 82/84",00164,Roma,Roma (RM),Lazio,F/9621,12613631006
INDIPENDENZA DOTT. ENRICO MATTIOLI,"Via S. Martino Battaglia, 10",00185,Roma,Roma (RM),Lazio,F/9233,12634331008
VELODROMO SAS DELLE DOTT.SSE FABRIZI IMPERIA V. E LIBERATORE TANIA,"Via Appia Nuova, 651",00179,Roma,Roma (RM),Lazio,F/9417,12641041004
SANTA MARIA DELLA DR.SSA VALENTINA TATA SNC,"Via Abigaile Zanetta, 130",00143,Roma,Roma (RM),Lazio,F/9521,12870981003
RAGUSA DR.SSA MARIA ANTONIETTA MACRI' E C. SAS,"Via Taranto, 111",00182,Roma,Roma (RM),Lazio,F/9491,13071751005
LOALDI ROBERTO MARIA,"via Nicandro, 6/a",00155,Roma,Roma (RM),Lazio,F/9321,05040810581
LA MARTIRE SNC,"Via Nocera Umbra, 184/186",00181,Roma,Roma (RM),Lazio,F/9528,05380511005
BRUNETTI DOTT. PIERLUIGI,"Via Giustiniano Imperatore, 33",00145,Roma,Roma (RM),Lazio,F/9435,13278101004
DEL BENESSERE DI GIAMPAOLO PIROLLI & C. SAS,"Via Scribonio Curione, 91/93",00175,Roma,Roma (RM),Lazio,F/9365,13286031003
MARZOLI 2 SAS,"Via Montaione, 68/70",00139,Roma,Roma (RM),Lazio,F/9104,13591141000
FARMAPIRAM S.A.S. DI PIERO URODA & C.,"Via di Torre Clementina, 76/78",00054,Fiumicino,Roma (RM),Lazio,F/9587,13912511006
Farmacie Hallgass S.a.s.,"Via Cornelia, 48/b",00166,Roma,Roma (RM),Lazio,F/9735,13933581004
CONTRATTI SNC DEL DR. FERNANDO CONTRATTI & C.,"Viale San Giorgio, snc",00020,Arcinazzo romano,Roma (RM),Lazio,F/9873,14112391009
Sant'Elena Delle Dr.sse Anna Maria E Anna Laura Pellegrini Snc,"Largo Bilancioni, 8/11 (Via Pio Foà)",00152,Roma,Roma (RM),Lazio,F/9572,07551721009
COMUNALE N.1 ARANOVA - FIUMICINO,Via Aurelia km. 24.300,00054,Fiumicino,Roma (RM),Lazio,F/9655,06041561009
COMUNALE ISOLA SACRA,"Via della Scafa, 143",00054,Fiumicino,Roma (RM),Lazio,F/9659,06041561009
MARTINO VITTORIO,"Via E. Bondi, 64",00166,Roma,Roma (RM),Lazio,F/9704,06076900585
SALIS FIORI GIOVANNA,"Piazza dei Navigatori, 12/13",00147,Roma,Roma (RM),Lazio,F/9421,00450070586
CASTRO PRETORIO DI LANZETTA M. TERESA E CARMEN MARIA SNC,"Via dei Mille, 27",00185,Roma,Roma (RM),Lazio,F/9263,06187301004
COLLE OPPIO SNC DR.I PAGANO MARIANO PAOLO E LUCA,"Via Merulana, 208",00185,Roma,Roma (RM),Lazio,F/9264,06196171000
GHINOZZI PAOLA,"Via M. B. Tosatti, 39",00137,Roma,Roma (RM),Lazio,F/9203,08273540586
S. EMERENZIANA DR. CAMISASCA DARIO,"Via Nemorense, 182",00199,Roma,Roma (RM),Lazio,F/9271,06689651005
MEMEO DOTT. NICCOLO' DI GRAVINA,"Piazza Cesare Baronio, 4/A",00179,Roma,Roma (RM),Lazio,F/9556,06804991005
CASALE CALETTO DR. ANTONIO DORELLA,"Via Dameta, 127",00155,Roma,Roma (RM),Lazio,F/9397,06862131007
Comunale Santa Lucia,"Via Santa Lucia, 118",00013,Fonte nuova,Roma (RM),Lazio,F/18636,06905571003
COM.LE MENTANA N.2,"VIA CARLO GOLDONI, SNC",00013,Mentana,Roma (RM),Lazio,F/9893,06905571003
IALACCI GIOVANNI DEL DOTT. FAUSTO ATTILIO IALACCI,"Via Etruria, 38",00183,Roma,Roma (RM),Lazio,F/9429,07080161008
CONCA D'ORO,"Piazza Conca D'Oro, 34/37",00141,Roma,Roma (RM),Lazio,F/9148,07097091008
Farmarignano,"Piazza Vittorio Emanuele, 14",00068,Rignano flaminio,Roma (RM),Lazio,F/18286,09918751000
TOR DE CENCI DEI DR.I GAETANO E PIETRO TAROLA SNC,"Via Renzo Bertami, 64",00128,Roma,Roma (RM),Lazio,F/9451,09959271009
LANZETTA MARIA ASSUNTA,"Corso Vittorio Emanuele, 36",00186,Roma,Roma (RM),Lazio,F/9188,08139270584
GELLINI DR.SSA CRISTINA FABRO,"Corso Italia, 100",00198,Roma,Roma (RM),Lazio,F/9167,11486421008
FENICE SNC DR.SSE ARICO' CARMELINA E MIRABILE SERENELLA,"Via B. Perestrello, 26/27",00176,Roma,Roma (RM),Lazio,F/9484,08549461005
MILITELLO DI ROBERTA E MARIO DI MARCO BOSINI SNC,"Via Marco Tabarrini, 2/e (Angolo Circ.ne Appia)",00179,Roma,Roma (RM),Lazio,F/9433,08898651008
ALESSANDRINA SNC DI GIACOBBI DONATELLA E CIFALDI PLACIDO,"Via dei Platani, 1/B",00172,Roma,Roma (RM),Lazio,F/9387,08984341001
ELETTI SNC DI ELETTI BIANCHI FERNANDO ED ELETTI BIANCHI ROBERTA,"Via Tor de' Schiavi, 39-39a",00172,Roma,Roma (RM),Lazio,F/9381,08989901007
CITTA' D'EUROPA,"Viale Citta' d'Europa, 700",00144,Roma,Roma (RM),Lazio,F/9540,09281581000
RELLECATI FABRIZIO,"Piazza S. Maria in Trastevere, 7",00153,Roma,Roma (RM),Lazio,F/9210,09284720589
FERRARO DOMENICO,"Via della Bella Villa, 62/B",00172,Roma,Roma (RM),Lazio,F/9352,09409830586
MAGNANIMI LAURA,"Via del Millesimo, 25",00168,Roma,Roma (RM),Lazio,F/9746,09603080582
DELOGU FRANCESCA,"Circonvallazione Gianicolense, 186/a",00152,Roma,Roma (RM),Lazio,F/9625,09603300584
ACQUALAGNA PATRIZIA,"Via San Daniele del Friuli, snc",00188,Roma,Roma (RM),Lazio,F/9223,09613480582
FARMACIA CASTELVERDE NUOVA S.R.L.,"Via Massa di San Giuliano, 548-548A",00132,Roma,Roma (RM),Lazio,F/20763,15506721008
farmacia Pharmaserenissima Srl,"Via Prenestina, 365/e",00177,Roma,Roma (RM),Lazio,F/9472,15002101002
PAVESE DEI DOTTORI ARRIGHI E LO PINTO SNC,"Via Cesare Pavese, 96/C",00144,Roma,Roma (RM),Lazio,F/9536,10191471001
PAVESE DELLA DR.SSA RITA LO PINTO E C. SNC,"Via Cicerone, 30",00193,Roma,Roma (RM),Lazio,F/9788,10191471001
FARMACIA PUTERI S.R.L.,"Via Santa Maria Goretti, 124",00048,Nettuno,Roma (RM),Lazio,F/10025,15337861007
FARMACIA ADILARDI DI PAOLA ADILARDI - Sas,"Viale Vasco De Gama, 36 A",00121,Roma,Roma (RM),Lazio,F/9613,15278101009
Farmacia Alessandrino s.a.s. del Dottore Biagio Del Pio & C.,"Via dei Meli, 33/E",00172,Roma,Roma (RM),Lazio,F/9313,07707721002
FARMACIA DEI PORTUENSI S.A.S.,"Via PORTUENSI, 2488",00054,Fiumicino,Roma (RM),Lazio,F/18434,15319891006
Farmacia Althea SNC delle dott.sse Cannizzaro e Madonia,"Via via di vermicino, 158/A",00133,Roma,Roma (RM),Lazio,F/20628,15451031007
FARMACIA ANITORI SRL,"Largo livio zambeccari, 6",00149,Roma,Roma (RM),Lazio,F/9581,15539321008
Com.le Ospedale Velletri,"Via Del Corso, 1",00049,Velletri,Roma (RM),Lazio,F/9994,00000009994
Com.le Ardea (Tor S.lorenzo),"Viale Tor S. Lorenzo, 139",00040,Ardea,Roma (RM),Lazio,F/9991,00000009991
FARMACIA CALIFANO S.R.L.,"Via Frascati, 62 - 64",00030,Colonna,Roma (RM),Lazio,F/10013,15378551004
farmacia San Paolo Srl,"Via Brancaleone, 2",00030,Genazzano,Roma (RM),Lazio,F/20547,15275351003
farmaciacesaroni snc delle dottoresse laurae luisa,"Via del comune, 66",00049,Velletri,Roma (RM),Lazio,F/9969,15006461006
FARMACIA MOTTA CAMASTRA,"Via MOTTA CAMASTRA, 5",00132,Roma,Roma (RM),Lazio,F/20549,15357661006
FARMACRIMI FIUMICINO SRL,"Viale delle Meduse, 77",00054,Fiumicino,Roma (RM),Lazio,F/9657,08324291007
CASTELNUOVO SAS DEL DR. ANTONINO FIRRIOLO &amp; C.,"Via S. Giovanni, 5",00060,Castelnuovo di porto,Roma (RM),Lazio,F/9826,11207501005
FARMACIA NUOVA SNC,"Via siliqua, 128",00054,Fiumicino,Roma (RM),Lazio,F/20566,15166971000
Farmacia san Raffaele sas,"Piazza Metabo, 9",00049,Velletri,Roma (RM),Lazio,F/10017,04388481006
FARMACIA ANAGNINA SNC delle D.sse Raffaella Salsano e Stefania Vigilante,"Via Billi, 9",00173,Roma,Roma (RM),Lazio,F/20721,15773571003
FARMACIA DELLE ACACIE SAS DR.SSA RITA PASQUALETTI & C.,"Via delle acacie, 51",00171,Roma,Roma (RM),Lazio,F/9371,05253541006
FARMACRIMI ACILIA SRL,"Via G. Bonichi, 117",00125,Roma,Roma (RM),Lazio,F/9591,09312571004
FARMACRIMI MONTEVERDE SRL,"Piazzale E. Dunant, 11",00152,Roma,Roma (RM),Lazio,F/9604,10736401000
FARMACRIMI AXA SRL,"Via Macchia Saponara, 90",00125,Roma,Roma (RM),Lazio,F/18401,10059001007
DISPENSARIO LEONARDO DA VINCI,"Via Aeroporto Internazionale L. Da Vinci, Terminal 1",00054,Fiumicino,Roma (RM),Lazio,F/19397,10491561006
FARMACRIMI STAZIONE TERMINI E AEROPORTO ROMA FIUMICINO SRL,"Via Marsala, 29",00185,Roma,Roma (RM),Lazio,F/9213,10491561006
FARMACIA AEROPORTO T3,"Via Aeroporto Internazionale L. Da Vinci, Terminal 3",00054,Fiumicino,Roma (RM),Lazio,F/9597,10491561006
Farmacia Cinecittà,"Via Tuscolana, 933",00174,Roma,Roma (RM),Lazio,F/9369,15038501001
Farmacia Monti San Paolo SRL,"Via Dei Monti di San Paolo, 51/V",00126,Roma,Roma (RM),Lazio,F/20772,15789191002
FARMACIA TOR DE' SCHIAVI DEL DOTTOR STEFANO DI PUCCHIO S.A.S.,"Via Tor de' Schiavi, 147/d",00172,Roma,Roma (RM),Lazio,F/9312,11495031004
FARMANAVA SAS,"Piazza della Radio, 39/A e B",00146,Roma,Roma (RM),Lazio,F/9585,15459511000
Farmacia Torre Maura,"Viale Torre Maura, 90",00169,Roma,Roma (RM),Lazio,F/20639,15458571005
FARMACIA OTTAVIA S.N.C. della Dr.ssa Angela Tabarrini & C.,"Via TRIONFALE, 11270/11264/11260",00135,Roma,Roma (RM),Lazio,F/9675,14803671008
Farmacia Dei Salesiani,"Via Quinto Pedio, 20",00175,Roma,Roma (RM),Lazio,F/9310,10121140965
FARMACIA VESCOVIO SNC DELLA DR.SSA BRUNA BRIENZA & C,"Via Magliano Sabina, 25",00199,Roma,Roma (RM),Lazio,F/9133,15515951000
Farmacrimi Palocco Srl,"Piazzale Filippo Il Macedone, 18-25",00124,Roma,Roma (RM),Lazio,F/9628,04567141009
FARMACIA MACEDONIO SRL,"Via Gabi, 14",00183,Roma,Roma (RM),Lazio,F/9425,15935831006
Farmacia dott. Roberto Riservato,"Via Via federico Cesi, 9-11-13-15",00193,Roma,Roma (RM),Lazio,F/9760,03291070781
FARMACIA REATINA S.N.C. DELLE DOTTORESSE STEFANIA PEPE ED ANTONELLA SOAVE,"Via REATINA, 167",00013,Mentana,Roma (RM),Lazio,F/20778,15867521005
FARMACIA MOLTEDO SAS,"Via G. Trevis, 60/68",00147,Roma,Roma (RM),Lazio,F/9541,15172591008
farmacia santamaria sofi srl,"Viale g. baccelli, 22",00053,Civitavecchia,Roma (RM),Lazio,F/9801,15248711002
FARMACIA SANT'ANTONIO SAS DR.PALLI DOMENICO & C,"Via Salaria, 221",00015,Monterotondo,Roma (RM),Lazio,F/9914,15539891000
LIDO NORD CALISTI S.R.L.,"Via A. Piola Caselli, 115",00122,Roma,Roma (RM),Lazio,F/9589,15206981001
Ferlaino snc dei dottori Giovanni Christian e Marco,"Via G. Ghislieri, 21/23",00152,Roma,Roma (RM),Lazio,F/9639,10196981004
FARMACIA SPURIO SNC,"Corso Centocelle, 52",00053,Civitavecchia,Roma (RM),Lazio,F/9817,14527271002
Asp Spa - Comunale 4,"Via Morena, 162-164",00043,Ciampino,Roma (RM),Lazio,F/10001,02315031001
COMUNALE 8 SAN CESAREO,"Via Casilina, 65",00030,San cesareo,Roma (RM),Lazio,F/16770,02315031001
COMUNALE 9 ZAGAROLO,"Via Antonio Mantegna, 1",00039,Zagarolo,Roma (RM),Lazio,F/16774,02315031001
Comunale 10 Olevano Romano,"Piazza Fratelli Laudenzi, n. 1",00035,Olevano romano,Roma (RM),Lazio,F/17030,02315031001
ASP SPA - COMUNALE QUATTROSTRADE,"VIA NETTUNENSE KM. 4,800",00040,Castel gandolfo,Roma (RM),Lazio,F/17031,02315031001
ASP SPA - COMUNALE 5,"Via dei Laghi, 55",00043,Ciampino,Roma (RM),Lazio,F/17255,02315031001
COMUNALE 8 CIAMPINO,"Via dell'Acqua Cetosa, 72",00043,Ciampino,Roma (RM),Lazio,F/17256,02315031001
Comunale 6 Ciampino,"Via Palermo, 18/a",00043,Ciampino,Roma (RM),Lazio,F/18316,02315031001
Comunale Palestrina,"Via Prenestina Nuova Km 69,300",00030,Palestrina,Roma (RM),Lazio,F/18699,02315031001
ASP SPA - PALESTRINA,"Via Prenestina, 301//C",00036,Palestrina,Roma (RM),Lazio,F/18765,02315031001
Farmacia Comunale F11,"Via Marcandreola, 4",00043,Ciampino,Roma (RM),Lazio,F/19790,02315031001
ASP SPA - COMUNALE N.1,"Via Monte Grappa, 62",00043,Ciampino,Roma (RM),Lazio,F/9960,02315031001
COMUNALE CIAMPINO 2,"Piazza Kennedy, 50/A",00043,Ciampino,Roma (RM),Lazio,F/9971,02315031001
"COMUNALE 3 ""DEI FRANCESI""","Via fracesi, 164/h",00043,Ciampino,Roma (RM),Lazio,F/9993,02315031001
FARMACIA PISANA S.N.C.,"Via DELLA PISANA, 278",00163,Roma,Roma (RM),Lazio,F/20645,15503561001
FARMACIA SAN GIOVANNI SAS DEL DR. EMILIO CABELLA & C.,"Via Enna, 17/b",00182,Roma,Roma (RM),Lazio,F/9481,15431911005
FARMACIA IVELLA-SALVATORI snc,"Via SICILIA, 28/30/34/36",00012,Guidonia montecelio,Roma (RM),Lazio,F/20648,15483661003
Farmacia Di Leone srl,"Via delle Vigne, 163",00148,Roma,Roma (RM),Lazio,F/9562,15486421009
SBARIGIA DR.SSA ANNA,"Via Andersen, 50",00168,Roma,Roma (RM),Lazio,F/9129,00000009129
COMUNALE CASTELNUOVO DI PORTO,"Via Tiberina, 2/D",00060,Castelnuovo di porto,Roma (RM),Lazio,F/16772,00000016772
FARMACIA CONTI SAS DEL DR. VALERIO CONTI & C,"Via FLAMINIA, 58 INT. 4",00068,Rignano flaminio,Roma (RM),Lazio,F/9818,14538841009
CASILINA 478 SRL,"Via Casilina, 478/478A",00177,Roma,Roma (RM),Lazio,F/9527,15495601005
Farmacia Vittorio Veneto,"Via Lombardia, 11",00187,Roma,Roma (RM),Lazio,F/9247,14996111002
Farmacia Rebibbia s.n.c. delle dottoresse Gabriella Conti e Annamaria Donato,"Via Ripa Teatina, 17/19",00156,Roma,Roma (RM),Lazio,F/20650,15510241001
FARMACIA SAN NILO S.A.S. DEL DOTTOR DI BONA VINCENZO,"Viale SAN NILO, 101",00046,Grottaferrata,Roma (RM),Lazio,F/10051,15035521002
OLGIATA SNC Dr.i Picchioni Massimo e Paolo,"Via ANTON GIULIO BRAGAGLIA, 29/D",00123,Roma,Roma (RM),Lazio,F/17524,08528381000
FARMACIA EREDI ANGELINI SNC DI ANTONIO PAOLO E SANTINA SOLFAROLI CAMILLOCCI,"Via FERDINANDO ACTON, 23",00122,Roma,Roma (RM),Lazio,F/9617,15693821009
FARMACAP - COM.LE MESSI D'ORO,"Viale Egidio Galbani, 69/71",00156,Roma,Roma (RM),Lazio,F/18226,00000018226
ACQUAFREDDA S.R.L.,"Via ENRICO BONDI, 261/263",00166,Roma,Roma (RM),Lazio,F/20601,15151561006
FARMACIA CAMPO DELL'ORO,"Via A. De Gasperi, snc",00053,Civitavecchia,Roma (RM),Lazio,F/9809,15402471005
Farmacia Volusia,"Via Volusia (angolo via Cassia, 1056), 1",00189,Roma,Roma (RM),Lazio,F/20603,15036491007
FARMACIA FRANCESCHINI,"Viale ETTORE FRANCESCHINI, 57/59/61/63",00155,Roma,Roma (RM),Lazio,F/20748,14964601000
GALLOTTA SNC DI MARIA TERESA E MARCO GALLOTTA,"Via C. Fracassini, 26",00196,Roma,Roma (RM),Lazio,F/9118,10561381004
