Denominazione,Indirizzo,CAP,Comune,Provincia,Regione,Codice_univoco,Partita_IVA
PIAVE,"Via Bellotti, 1",20129,Milano,Milano (MI),Lombardia,F/2637,03955010156
CASSINA DE' PECCHI SNC DI MERIGGI PIER LUIGI E CRISTIANO,"Via Papa Giovanni XXIII, 5",20060,Cassina de'pecchi,Milano (MI),Lombardia,F/3249,08800100961
CONSORZIO FARMASUD,"Via Vittor Pisani, 12",20123,Milano,Milano (MI),Lombardia,F/18990,08874020962
AMEDEO SAS,"Via G.A. Amadeo, 40",20133,Milano,Milano (MI),Lombardia,F/2896,08906970960
MINERVA SNC DR. SERGENT MARCEAU LUDOVICO & C.,"Via Crema, 17",20135,Milano,Milano (MI),Lombardia,F/2647,08923090966
SAN MICHELE DI GENNARO DOTT. CORRADO & C. SNC,"Via IV Novembre, 80",20015,Parabiago,Milano (MI),Lombardia,F/3037,09285520962
REALE DI AGAPE ALBERTO,"Via Larga, 16",20122,Milano,Milano (MI),Lombardia,F/2998,09517590965
BOGNETTI SNC,"Piazza Liberta', 19",20020,Arconate,Milano (MI),Lombardia,F/3119,09522150961
TADINI,"Piazza Tricolore, 2",20142,Milano,Milano (MI),Lombardia,F/2859,09549510155
FARMACIA SANTA CATERINA SRL,"Viale Caterina Da Forli', 7",20146,Milano,Milano (MI),Lombardia,F/2889,11320830968
FARMACIA SANT'ANNA,"Via TRIESTE, 19",20010,Santo stefano ticino,Milano (MI),Lombardia,F/3193,10381920965
Farmacia San Pietro srl,"Via degli olmi, 11",20062,Cassano d'adda,Milano (MI),Lombardia,F/20529,10843780965
PROSPER,"Via Brunelleschi, 2",20090,Trezzano sul naviglio,Milano (MI),Lombardia,F/3184,07252240960
FARMACIA CASTOLDI SNC DI D'ATRI SILVERIO & C.,"Corso Italia, 39",20081,Abbiategrasso,Milano (MI),Lombardia,F/3203,11159970968
Comunale N. 1,"Via Falcone, 13",20084,Lacchiarella,Milano (MI),Lombardia,F/18186,03478390960
FARMACIA LEGNANI SRL,"Via RASORI, 2",20145,Milano,Milano (MI),Lombardia,F/2993,11313560960
FARMACIA PENNAGLIA SAS DELLA DOTT.SSA ANNA MARIA PENNAGLIA,"Via Monte Palombino, 9",20138,Milano,Milano (MI),Lombardia,F/2632,10579760967
Farmacia della Stazione Dott. Lorenzo Vitali s.r.l.,"Via Liberazione, 2",20025,Legnano,Milano (MI),Lombardia,F/3145,10128130969
CADORE,"Via Cadore, 29",20135,Milano,Milano (MI),Lombardia,F/2988,12349690151
FARMACIA CASCINA CROCE SNC,"Via Cascina Croce, 123",20010,Cornaredo,Milano (MI),Lombardia,F/20700,11339860964
MAC MAHON,"Via Principe Eugenio, 19",20155,Milano,Milano (MI),Lombardia,F/3018,11028410964
FARMACIA MONCUCCO S.N.C. DEI DOTTORI ROCCO FREZZA E MARIA FREZZA,"Via RIMINI, 29",20142,Milano,Milano (MI),Lombardia,F/3005,05653610963
SEMPIONE DI GHEZA & C. SNC,"Corso Sempione, 5",20145,Milano,Milano (MI),Lombardia,F/2879,00000002879
LAMBRATE S.R.L.,"Via Pacini, 70",20131,Milano,Milano (MI),Lombardia,F/2949,10991560961
S. MARTINO,"Viale Rimembranze M Lambrate, 18",20134,Milano,Milano (MI),Lombardia,F/2850,11141010964
GLORIA SRL - FARMACIA FASOLIS,"Via Celentano, 1 - Ang. Via Padova, 194",20132,Milano,Milano (MI),Lombardia,F/2665,04582870962
GLORIA SRL - FARMACIA FOGLIA,"Via S. Calimero, 1-Ang. C.so P.ta Romana",20122,Milano,Milano (MI),Lombardia,F/2957,04582870962
DEL GENTILINO SRL,"Via Lagrange, 2",20136,Milano,Milano (MI),Lombardia,F/2633,06819600963
GLOBAL HEALTH DISTRIBUTION S.R.L.,"Viale Indipendenza, 14",20090,Trezzano sul naviglio,Milano (MI),Lombardia,F/3077,03348530985
FARMACIA BINOTTI SNC di Binotti Cristiana,"Via Giardino, 1",20085,Locate di triulzi,Milano (MI),Lombardia,F/3280,10217020964
FARMAKAL SNC DI TROCINO ANTONIO,"Via Verdi, 40",20063,Cernusco sul naviglio,Milano (MI),Lombardia,F/3248,08275950965
Farmacia Sant'Ambrogio,"Via vittorio veneto, 2",20060,Vignate,Milano (MI),Lombardia,F/3324,08275950965
Farmacia Baranzate SNC,"Via Milano, 242",20021,Baranzate,Milano (MI),Lombardia,F/20635,10937320967
FARMACIA RAINERI SRL,"Via Villoresi, 2",20024,Garbagnate milanese,Milano (MI),Lombardia,F/3156,10445120966
FARMACIA TRIVULZIO,"Via TRIVULZIO, 28",20147,Milano,Milano (MI),Lombardia,F/2900,10889380159
Farmacia Cerello snc,"Piazza San Vincenzo, sc",20011,Corbetta,Milano (MI),Lombardia,F/20590,10970860960
FARMACIA DEL GIARDINO SRL,"Via Delle Betulle, 3",20090,Cesano boscone,Milano (MI),Lombardia,F/3153,04868730963
FARMACIA ROMA S.R.L.,"Corso ROMA, 155",20093,Cologno monzese,Milano (MI),Lombardia,F/3472,10581840963
DEL NAVIGLIO SRL,"Via CARLO TROYA, 11",20144,Milano,Milano (MI),Lombardia,F/2969,10878880961
ANTICA FARMACIA CENTRALE SRL,"Via Edmondo De Amicis, 33",20018,Sedriano,Milano (MI),Lombardia,F/3178,11703040151
farmacia futura di faiq al mimi,"Via pontida, 18",20081,Abbiategrasso,Milano (MI),Lombardia,F/19530,02813610181
Farmacia Dei Tre,"Via Strada Provinciale Saronnese, 20",20027,Rescaldina,Milano (MI),Lombardia,F/19629,09918380966
farmacia rubattino sas,"Via R.Pitteri, 93",20134,Milano,Milano (MI),Lombardia,F/2943,10343180963
FARMACIA CENISIO srl,"Via S. Galdino, 11",20154,Milano,Milano (MI),Lombardia,F/2607,11469180969
FARMACIA MELOZZO DA FORLI' DEI DOTTORI LEARCO E MARCELLO SANDI & C.,"Via NOVARA, 3",20147,Milano,Milano (MI),Lombardia,F/2648,11060720965
Farmacia dell'Abbazia,"Via Via Dante, 2",20081,Morimondo,Milano (MI),Lombardia,F/17569,09879150960
Farmacia Viscontea Di Rebuzzini Dr.ssa Raffaella E Salzano Dr. Alberto S.n.c,Piazza Roma. 6,20088,Gudo visconti,Milano (MI),Lombardia,F/19603,09879150960
FARMACIA CERNUSCO 8 s.r.l.,"Via VERDI, 83",20063,Cernusco sul naviglio,Milano (MI),Lombardia,F/20468,10855770961
FARMACIA DEI SALICI DI BENELLI DR.SSA LAURA E AGAZZI DR. ENRICO RODOLFO SNC,"Via DEI SALICI, 22",20025,Legnano,Milano (MI),Lombardia,F/20667,11174880960
CA' GRANDA,"Via M. De Angelis, 15",20162,Milano,Milano (MI),Lombardia,F/3009,11485280967
Farmacie Comunali Garbagnate Srl,"Viale Rimembranze, 16",20024,Garbagnate milanese,Milano (MI),Lombardia,F/3087,10179110969
Farmacia Comunale 2,"Via Milano, 144",20024,Garbagnate milanese,Milano (MI),Lombardia,F/3106,10179110969
Farmacie Comunali Garbagnate Srl,"Viale Primo Maggio, 6/e",20024,Garbagnate milanese,Milano (MI),Lombardia,F/3164,10179110969
FARMACIA COMUNALE N.1,"Piazza Tevere, 16",20097,San donato milanese,Milano (MI),Lombardia,F/2678,11305000157
FARMACIA COMUNALE N.3,"Via Triulziana, 14",20097,San donato milanese,Milano (MI),Lombardia,F/2801,11305000157
FARMACIA COMUNALE N.4,"Via Europa, 7",20097,San donato milanese,Milano (MI),Lombardia,F/2833,11305000157
FARMACIA COMUNALE N.2,"Via Gramsci, 14",20097,San donato milanese,Milano (MI),Lombardia,F/3246,11305000157
farmacia IRIS dei dottori DEL BO EDMONDO OSCAR e MARENGHI NADIA MARIA,"Piazza DELLA REPUBBLICA, 5",20086,Motta visconti,Milano (MI),Lombardia,F/20498,10803130961
FARMACIA SAN GUIDO - DR.SSA SILVANA TOSCHI,"Viale ESPINASSE CARLO, 172",20156,Milano,Milano (MI),Lombardia,F/2972,13056950150
NATALE SAS DEL DR. NATALE FRANCESCO MARIA & C.,"Via Terenghi, 23",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3562,08014310968
FARMACIA IAMPIETRO,"Via ANNA FRANK, 9/11",20121,Bollate,Milano (MI),Lombardia,F/20616,11048010968
BIAZZI sas,"Via Giambellino, 131/5",20147,Milano,Milano (MI),Lombardia,F/2842,11442380967
FARMACIA SAN PIETRO E PAOLO,"Viale RESEGONE, 47",20020,Arese,Milano (MI),Lombardia,F/20521,06381550018
AMBRECK S.R.L.,"Via Stradivari, 1",20131,Milano,Milano (MI),Lombardia,F/2625,10957030967
FARMACIA ANGOLO DELLA SALUTE S.R.L.,"Via PAOLO SARPI, 53",20154,Milano,Milano (MI),Lombardia,F/2935,06312070961
FARMACIA VALTELLINA,"Via BETTOLA, 1",20092,Cinisello balsamo,Milano (MI),Lombardia,F/20444,10684810962
FARMACIA LESSONA DR. COSCO ANTONIO,"Via Via GAZZOLETTI, 3",20157,Milano,Milano (MI),Lombardia,F/3006,03318210964
Farmacia Alboreto Snc Del Dott. Alberto Tadini E C.,"Piazza Alboreto, 64",20089,Rozzano,Milano (MI),Lombardia,F/20084,10390430964
Farmacia Aurora,"Via Aurora, 29",20037,Paderno dugnano,Milano (MI),Lombardia,F/20093,10357860963
Farmacia DuEllE snc delle dott.sse Luisa Polito e Loredana Raimondo,"Via Isonzo, 27",20090,Cesano boscone,Milano (MI),Lombardia,F/20406,10566490966
Firenze S.R.L.,"Via Ruggero di Lauria, 22",20149,Milano,Milano (MI),Lombardia,F/2640,10560170960
Farmacia Croceverde Srl,"Via Per Cesate, 64",20024,Garbagnate milanese,Milano (MI),Lombardia,F/20094,10276540969
Farmacia Nuova Rozzano,"Via Xxv Aprile, 37",20089,Rozzano,Milano (MI),Lombardia,F/20095,10349400969
Farmacia Varese,"Via Varese, 156",20024,Garbagnate milanese,Milano (MI),Lombardia,F/20105,10346070963
Farmacia dei Giovi srl,"Via Cantinotti, 51",20032,Cormano,Milano (MI),Lombardia,F/20367,10563000966
Paola Rabolli,"Via C.Battisti, 47",20015,Parabiago,Milano (MI),Lombardia,F/3196,03580270126
LOMBARDIA,"Viale Lombardia, 74",20093,Cologno monzese,Milano (MI),Lombardia,F/3498,10438510967
Farmacia Maggioni,"Via Togliatti, 8",20077,Melegnano,Milano (MI),Lombardia,F/20120,10413170969
DESENZANI COLOGNO SAS,"Via Roma, 13",20093,Cologno monzese,Milano (MI),Lombardia,F/3557,07856700963
FARMACIA IMPERIA SNC DI MANELLI ALESSANDRA,"Via La Spezia, 20",20142,Milano,Milano (MI),Lombardia,F/2979,08271020961
FARMACIA BACH S.R.L.,"Piazza BACH, 17",20064,Gorgonzola,Milano (MI),Lombardia,F/20451,10858970964
Sigra S.r.l.,"Via Vitruvio, 11",20124,Milano,Milano (MI),Lombardia,F/2924,10132730960
S. Gottardo,"Via Pavia, 1",20136,Milano,Milano (MI),Lombardia,F/2843,09006400155
Farmacia Fulghieri Sas Del Dr. Fulghieri Luca E C.,"Via Europa, 8",20010,Casorezzo,Milano (MI),Lombardia,F/3091,07830210964
Farmacia Manca S.n.c. Del Dr. Marco Manca & C.,"Via Giacinto Serrati, 12",20138,Milano,Milano (MI),Lombardia,F/2991,13266660151
Farmacia Padova Di Talpini Dr. Fabio,"Via Atene, 2",20132,Milano,Milano (MI),Lombardia,F/2968,12662920151
FARMACIA DE POLI SAS-DR.SSA MARIACHIARA DE POLI & C.,"Viale Lombardia, 65",20131,Milano,Milano (MI),Lombardia,F/2955,10320280968
Farmacia Quinto Stampi,"Viale Isonzo, 24",20089,Rozzano,Milano (MI),Lombardia,F/20417,10768580960
FARMACIA COLONNE DI SAN LORENZO MILANO DELLA DR.SSA STRAZIOTA CATERINA & C. SNC,"Corso Di Porta Ticinese, 24",20123,Milano,Milano (MI),Lombardia,F/2983,10823840961
Farmacia Civesio,": Via Della Liberazione, 44",20098,San giuliano milanese,Milano (MI),Lombardia,F/20139,10407700961
Farmacia Centrale s.n.c. di Bosia Ernesta e Panciroli Andrea Luigi,"Via G. Monti, 31",20078,San colombano al lambro,Milano (MI),Lombardia,F/2457,11136340152
Farmacia San Pedrino,"Via San Pedrino, 7",20067,Paullo,Milano (MI),Lombardia,F/20199,10364550961
Farmacia Santa Croce,"Via Nino Bixio, 7",20010,Vittuone,Milano (MI),Lombardia,F/20218,10410240963
BRACCIO SRL,"Galleria Felice Casati, 32",20124,Milano,Milano (MI),Lombardia,F/2911,11015890152
Farmacia Mezzacappa Snc,"Via Alberto Da Giussano, 2",20027,Rescaldina,Milano (MI),Lombardia,F/19896,09988130960
Farmacia Vittoria S.r.l.,"Via C. Pisacane, 2",20016,Pero,Milano (MI),Lombardia,F/20258,10440200961
FARMACIA NIGUARDA S.R.L.,"Via Monterotondo, 1",20162,Milano,Milano (MI),Lombardia,F/2761,05381520963
FONTANA SAS,"Piazza Garibaldi, 4",20064,Gorgonzola,Milano (MI),Lombardia,F/3326,05932620965
MODERNA DI GIOVANNI FILOMENI SNC,"Corso XXVI Aprile, 105",20010,Arluno,Milano (MI),Lombardia,F/3125,10527390966
FARMACIA MODIANO CLARA S.A.S. DEL DR. PAGLIANO MAURIZIO MARIA & C.,"Piazza STUPARICH, 4",20148,Milano,Milano (MI),Lombardia,F/2897,10543370968
FARMACIA CARAMELLI S.A.S. DEL DR. LUPICA LUIGI,"Piazza CAPRARA, 7",20062,Cassano d'adda,Milano (MI),Lombardia,F/3284,10544400962
FARMACIA DI BARNI MARZIO,"Via Via FRATELLI LUMIERE, 2",20127,Milano,Milano (MI),Lombardia,F/2725,05322260968
FARMACIA VOLPE SNC DI VOLPE ALESSANDRA E TIZIANA,"Via Cassanese, 170",20090,Segrate,Milano (MI),Lombardia,F/3229,10450060966
Farmacinque S.n.c. Di Senni Raffaella E Curione Anna,"Via Alcide De Gasperi, 44",20010,Bareggio,Milano (MI),Lombardia,F/19933,10071790967
Farmacia Sant'Anna,Via Carro Maggiore Snc,20060,Mediglia,Milano (MI),Lombardia,F/19935,10255290966
Azienda Farmaceutica Municipalizzata,"Largo Volontari Di Sangue, 2 Cp99",20020,Busto garolfo,Milano (MI),Lombardia,F/3059,10971410153
Farmacia Borsa S.a.s. Della Dr.ssa Silvia Borsa,"Via De Amicis, 3",20066,Melzo,Milano (MI),Lombardia,F/3285,07790910967
Farmacia Bovisasca S.r.l.,"Via Bovisasca, 173",20157,Milano,Milano (MI),Lombardia,F/2834,10123240961
Farmacia Fiduciaria Milano 1907 S.r.l.,"Piazza Caiazzo, 2",20124,Milano,Milano (MI),Lombardia,F/2895,10142390961
HIPPO 4 FARMA SRL,"Via Matteotti, 26",20010,Vittuone,Milano (MI),Lombardia,F/3057,10472970960
Farmacia Centrale S.n.c. Della Dott.ssa Maria Cristina Lugli,"Via Spadari, 13",20123,Milano,Milano (MI),Lombardia,F/2992,13261480159
Farmacia Quarenghi S.a.s. Di Susanna Quarenghi & C.,"Via Della Liberazione, 68",20067,Tribiano,Milano (MI),Lombardia,F/3273,10397350967
Farmacia Villani Di Del Pio Emilio E C. S.a.s.,"Via Matteotti, 9",20023,Cerro maggiore,Milano (MI),Lombardia,F/3128,10434450960
BERETTA,"Via del Santuario, 28",20096,Pioltello,Milano (MI),Lombardia,F/3240,09718530968
FARMACIA DELLE GROANE SRL,"Via Roma, 211",20020,Solaro,Milano (MI),Lombardia,F/20432,10745920966
Farmacia Sforza S.n.c. Di Gatti Paolo E Baratti Alberto,"Viale G. Sforza, 112",20081,Abbiategrasso,Milano (MI),Lombardia,F/18441,10324020964
ANTICA FARMACIA DI CASSANO D'ADDA S.A.S. DEL DR. ANDREA CORTIANA & C.,"Piazza Garibaldi, 5",20062,Cassano d'adda,Milano (MI),Lombardia,F/3298,08902900961
Farmacia Beato Angelico - S.r.l.,"Piazza Guardi, 15",20133,Milano,Milano (MI),Lombardia,F/2862,10146710966
Farmacia San Francesco S.n.c. Dei Dottori Alessandro Dentali E Davide Luzzani,"Piazza S. Francesco, 13",20021,Bollate,Milano (MI),Lombardia,F/3187,03977350960
FARMACIA VAL DI SOLE DELLA DOTT.SSA TOSELLI ELENA,"Via Val di Sole, 22",20141,Milano,Milano (MI),Lombardia,F/3002,01663790184
SAN BABILA FARMA S.R.L.,"Via della Spiga, 2",20121,Milano,Milano (MI),Lombardia,F/2883,10393660963
S.Paolo sas,"Via Novara, 63a",20025,Legnano,Milano (MI),Lombardia,F/3117,10485620966
Farmacia Dott. Lunghi di Elena Gazzaniga,"Via Cadorna, 5/7",20090,Opera,Milano (MI),Lombardia,F/20345,02734700186
Farmacia Girasoli snc,"Via Prima Strada, 19/d",20020,Lainate,Milano (MI),Lombardia,F/20441,10698470969
COMUNALE 3,"Via Liberazione, 8- Centro Com.le Galleria Borrome",20068,Peschiera borromeo,Milano (MI),Lombardia,F/18649,11674080152
AZIENDA SPECIALE FARMACIE COMUNALI - DISPENSARIO FRAZIONE LINATE,"Via Archimede, 21",20068,Peschiera borromeo,Milano (MI),Lombardia,F/20442,11674080152
MUNICIPALIZZATA N.1,"Via Liberazione, 25",20068,Peschiera borromeo,Milano (MI),Lombardia,F/3239,11674080152
COMUNALE N. 2,"Via 2 Giugno, 22",20068,Peschiera borromeo,Milano (MI),Lombardia,F/3294,11674080152
FARMACIA S. GIOVANNI SNC DELLA DR.SSA CANETTI CESARINA E C.,"Via Pola, 13",20124,Milano,Milano (MI),Lombardia,F/2670,05273210962
Farmacia San Giorgio S.r.l.,Piazza Mazzini 23,20010,San giorgio su legnano,Milano (MI),Lombardia,F/20031,10335180963
Farmacia Sanitas S.n.c. Della Dr.ssa Galbiati Debora Giuditta Luigia & C.,Via Marelli Ang. Via Gorizia 15,20099,Sesto san giovanni,Milano (MI),Lombardia,F/3475,09915750963
GORNI VITALI,"Via Lincoln, 63",20092,Cinisello balsamo,Milano (MI),Lombardia,F/3493,10559070965
FARMACIA DELLE REGIONI,"Via Basilicata, 2",20025,Legnano,Milano (MI),Lombardia,F/20305,08017330013
FARMACIA I TIGLI SNC DELLE DOTTORESSE TOTARO LOREDANA E CUSATI MARIASERENA,"Via Via Per Canegrate, 1",20025,Legnano,Milano (MI),Lombardia,F/20307,10510240962
Farmacia Rossini Snc,"Via Rossini, 12",20013,Magenta,Milano (MI),Lombardia,F/20080,10260080964
FARMACIA SAN MARTINO SAS DELLA DR.SSA GIULIANA MAGISTRALI & C.,"Via F.lli Cervi, 1",20008,Bareggio,Milano (MI),Lombardia,F/3060,12676830966
Dinamica sas,"Via L. il Moro, 3",20143,Milano,Milano (MI),Lombardia,F/2937,11209770962
FARMACIA BERTOLINI SAS DELLA DOTT.SSA BERTOLINI ISABELLA,"Via Saponaro, 34",20142,Milano,Milano (MI),Lombardia,F/2679,12238550961
S.Antonio snc,"Via Pellegrino Rossi, 44",20161,Milano,Milano (MI),Lombardia,F/3014,03626410967
GIANESE SRL,"Via Bernocchi, 3",20023,Cerro maggiore,Milano (MI),Lombardia,F/3062,11554940962
FARMACIA AMBROSIANA S.N.C. DEL DR. SLAVIERO GIOVANNI & C.,"Viale Regina Giovanna, 42",20129,Milano,Milano (MI),Lombardia,F/2817,12673910969
FARMACIA MONTE SANTO S.R.L.,"Piazzale Principessa Clotilde, 8",20124,Milano,Milano (MI),Lombardia,F/2933,10561900969
Farmacia Viale Romagna srl,"Viale Romagna, 25",20133,Milano,Milano (MI),Lombardia,F/2662,07207710968
DELLA TORRETTA SAS DI MONICA ROCCHI E C.,"Largo Promessi Sposi, 4",20142,Milano,Milano (MI),Lombardia,F/2956,11510970962
Farmacia dei Popoli di M. Moffa e P. Nigro Snc,"Viale San Francesco, 16",20096,Pioltello,Milano (MI),Lombardia,F/19655,09914240966
PISANI 26 SAS DEL DR. POLVER ANGELO,"Via Vittor Pisani, 26",20124,Milano,Milano (MI),Lombardia,F/2641,12659860964
San Riccardo di Dott. Pizzi Emanuele Aurelio E C. SAS,"Via Abruzzi, 1",20068,Peschiera borromeo,Milano (MI),Lombardia,F/17995,12652950960
FARMCIA COMUNALE DI CORBETTA N 1,"Via Villoresi, 45",20011,Corbetta,Milano (MI),Lombardia,F/18629,09293220969
Farmacia Comunale di Corbetta n.2,"Via della libertà, 6",20011,Corbetta,Milano (MI),Lombardia,F/20465,09293220969
BANDI,"Via Rovereto, 14 Ang. Viale Monza",20127,Milano,Milano (MI),Lombardia,F/2907,12444410968
FARMACIA CHIESA ROSSA SAS DI NORBERTO LUMINI & C,"Via Medeghino, 27",20141,Milano,Milano (MI),Lombardia,F/2920,11077810965
FARMACIA CASSIODORO SRL,"Viale Cassiodoro, 12",20100,Milano,Milano (MI),Lombardia,F/2855,02330410982
farmacia del corso srl unipersonale,"Corso Genova, 23",20123,Milano,Milano (MI),Lombardia,F/2975,10945450962
CORNELIANI SRL,"Via VITTORIO EMANUELE, 22",20094,Corsico,Milano (MI),Lombardia,F/3118,12493220961
Farmacia Fornase' di Tivolesi Raffaele e C. snc,"Piazza Bernini, 1/A",20032,Cormano,Milano (MI),Lombardia,F/18026,11290220968
Farmacia Vigentino srl,"Via Ripamonti, 108",20141,Milano,Milano (MI),Lombardia,F/2806,12453830965
FARMACIA FUSCO SAS DI MONTAGNANI -MARELLI DOTT.ROSSELLA &C.,"Via GIANBATTISTA BODONI, 19",20155,Milano,Milano (MI),Lombardia,F/2872,12657150962
Farmacia Sanitas SAS,"Corso Garibadi, 49",20121,Milano,Milano (MI),Lombardia,F/2658,10572440963
Santagostino SRL,"Via Roma, 2",20057,Assago,Milano (MI),Lombardia,F/3152,12062220962
FARMACIA ZINGONE SNC DI CONSUELO E ROSSELLA NANO,"Via Garibaldi, 8",20090,Trezzano sul naviglio,Milano (MI),Lombardia,F/3113,07902190961
PAMBIERI,"Via Del Parco, 6",20080,Albairate,Milano (MI),Lombardia,F/3078,12318100968
FARMACIA DI CONCESA DELLA DR.SSA C. PIROLA & C. S.N.C.,"Piazza piazza Cereda, 6",20056,Trezzo sull'adda,Milano (MI),Lombardia,F/20313,10562990969
FARMACIA BLIGNY SAS DEL DR. GIOVANNI BRAMBILLA,"Viale Bligny, 23/A",20136,Milano,Milano (MI),Lombardia,F/2925,12629830964
Farmacia Comina Srl,"Via Delle Ande, 5",20151,Milano,Milano (MI),Lombardia,F/2821,05905960968
Farmacia Della Corte,"Via Via Magenta, 33",20021,Bollate,Milano (MI),Lombardia,F/19625,09925630965
FARMACIA RONDINELLA SNC DEL DR. GIORGIO PORRO,"Via Monte Grappa, 238",20099,Sesto san giovanni,Milano (MI),Lombardia,F/3439,10121070964
FARMACIA S. ADRIANO S.N.C. DEL DOTT. CAMERA CAMILLO E C.,"Via Matteotti, 76/A",20082,Binasco,Milano (MI),Lombardia,F/3221,06271550961
dott.ssa daniela mattalia,"Piazza washington, 98",20146,Milano,Milano (MI),Lombardia,F/2644,12618270966
FARMACIA SAN FELICE S.N.C. DI CASTOLDI PAOLA E ALFIERI FRANCESCA,"Via MOLINO PREPOSITURALE, 39",20017,Rho,Milano (MI),Lombardia,F/3165,11015180158
MONTAGNA SNC,"Viale Tibaldi, 50",20136,Milano,Milano (MI),Lombardia,F/2852,11071770967
FARMACIA BERTA SRL,"Viale Monza, 43/B",20127,Milano,Milano (MI),Lombardia,F/2602,07087680968
farmagorà garbagnate,"Via Conciliazione, 61",20024,Garbagnate milanese,Milano (MI),Lombardia,F/3038,06634470964
Farmagora' cernusco s.n.1 s.r.l,"Via Garibaldi, 2",20063,Cernusco sul naviglio,Milano (MI),Lombardia,F/3223,05273630961
FARMACIA GHIRARDELLI S.R.L.,"Via B. Croce, 2",20015,Parabiago,Milano (MI),Lombardia,F/3209,10537090960
Farmacia Cuttone SRL,"Via Rho, 80",20020,Lainate,Milano (MI),Lombardia,F/18102,12128680969
FARMACIA WAGNER S.R.L.,"Via Buonarroti, 5",20149,Milano,Milano (MI),Lombardia,F/2600,08844420961
FARMACIA MADIA SAS DEL DR. MADIA DARIO,"Viale Zara, 38",20124,Milano,Milano (MI),Lombardia,F/2854,12139450964
Del parco srl,"Via Angelo Rizzoli, 47",20132,Milano,Milano (MI),Lombardia,F/3008,10912580965
FARMACIA CANEVA SRL,"Piazza CANEVA, 3",20154,Milano,Milano (MI),Lombardia,F/2698,12113350966
Farmacia Bassini,"Via Ennio Doris 5, 5",20079,Basiglio,Milano (MI),Lombardia,F/18350,06479490960
ARMANDOLA,"Piazza della Vittoria, 2",20012,Cuggiono,Milano (MI),Lombardia,F/3027,11006600966
LUCE SIMONATTI SAS DELLA DOTT.SSA MUNARO ALESSANDRA,"Via Monte Rosa ang. Via Santa Teresa del Bambin Gesù, 31",20025,Legnano,Milano (MI),Lombardia,F/3084,09031580963
LUCE SIMONATTI SAS DELLA DR.SSA MUNARO ALESSANDRA,"Via 4 Novembre, 3",20010,Canegrate,Milano (MI),Lombardia,F/3215,09031580963
Farmacia Metanopoli Dott. Andrea Mulas,"Via Monte Bianco, 10/12",20097,San donato milanese,Milano (MI),Lombardia,F/3292,12682450965
Farmacia Santa Maria della Dr.ssa Maria Grazia Polimeni,"Via Santa Maria, 124",20015,Parabiago,Milano (MI),Lombardia,F/19605,11500370967
FARMACIA BENESSERE SRL,"Via Per Casterno, 20",20087,Robecco sul naviglio,Milano (MI),Lombardia,F/20469,12618260967
FARMACIA OVIDIO S.N.C. DI GEROSA CLAUDIO E CHIARA,"Via Toscolano, 1",20138,Milano,Milano (MI),Lombardia,F/2980,13118020158
Farmacia Palmanova sas dr.ssa Barbara Gallo & co.,"Piazza Udine, 8",20132,Milano,Milano (MI),Lombardia,F/2705,10863810965
FARMACIA NUOVA INGANNI SNC,"Via Inganni, 70",20147,Milano,Milano (MI),Lombardia,F/2923,03926990965
FARMACIA TOMMASEO S.R.L.,"Via Mascheroni, 16",20145,Milano,Milano (MI),Lombardia,F/2944,06384400963
FARMACIA AL PONTE S.A.S. DEL DR. FRIGERIO GUIDO E C.,"Piazza Costantino, 1",20128,Milano,Milano (MI),Lombardia,F/2890,11795440962
Dispensario Dr. Mazzoleni,Piazza Don Cermenati,20011,Corbetta,Milano (MI),Lombardia,F/17653,08030220969
Farmacia Del Corso srl,"Corso Garibaldi, 55",20011,Corbetta,Milano (MI),Lombardia,F/3130,08030220969
MUNICIPALE N.22,"Via Fratelli Zoia, 43",20134,Milano,Milano (MI),Lombardia,F/2718,13195220150
MUNICIPALE N.23,"Via Lomellina ang. Via Monte Suello, 1",20133,Milano,Milano (MI),Lombardia,F/2719,13195220150
LloydsFarmacia Milano n. 26,"Via Pascarella, 22",20157,Milano,Milano (MI),Lombardia,F/2724,13195220150
LloydsFarmacia Milano n. 32,"Via Pellini, 1",20125,Milano,Milano (MI),Lombardia,F/2738,13195220150
LloydsFarmacia Milano n. 30,"Via Pizzolpasso, 5",20138,Milano,Milano (MI),Lombardia,F/2739,13195220150
LloydsFarmacia Milano n. 21,"Via Gian Rinaldo Carli, 14",20161,Milano,Milano (MI),Lombardia,F/2740,13195220150
COMUNALE N.38,"Via Saponaro, 2/C",20142,Milano,Milano (MI),Lombardia,F/2741,13195220150
MUNICIPALE N.9,"Via Mecenate, 25",20138,Milano,Milano (MI),Lombardia,F/2745,13195220150
LloydsFarmacia Milano n.40,"Via della Chiesa Rossa, 95",20142,Milano,Milano (MI),Lombardia,F/2747,13195220150
LloydsFarmacia Milano n. 27,"Piazza Imperatore Tito, 8",20137,Milano,Milano (MI),Lombardia,F/2750,13195220150
AZIENDA FARMACIE MILANESI SPA O SOLO A.F.M. S.P.A.,Via E. Ponti,20143,Milano,Milano (MI),Lombardia,F/2764,13195220150
MUNICIPALE N.51,"Via Padova, 256 (Via Pieri 1)",20127,Milano,Milano (MI),Lombardia,F/2765,13195220150
LloydsFarmacia Milano n.54,"Via Scheiweller, 2",20139,Milano,Milano (MI),Lombardia,F/2766,13195220150
